Date,NKE,PTON,SFM,BGFV,UNFI,NLS,JOUT,HLF,BFIT
2017-03-01,55.31458282470703,,18.459999084472656,11.455037117004395,43.77999877929688,16.549999237060547,34.36153793334961,28.34499931335449,14.231135368347168
2017-03-02,55.34331130981445,,18.40999984741211,11.683378219604492,43.66999816894531,16.600000381469727,34.05214309692383,28.1299991607666,14.231135368347168
2017-03-03,54.29005432128906,,18.11000061035156,11.759489059448242,43.4900016784668,16.700000762939453,33.85876846313477,27.9950008392334,14.231135368347168
2017-03-06,54.357093811035156,,17.829999923706055,11.949773788452148,43.16999816894531,16.600000381469727,33.49136734008789,27.35000038146973,14.231135368347168
2017-03-07,54.14643859863281,,17.6299991607666,11.569208145141602,43.0,16.350000381469727,33.77175521850586,26.54999923706055,14.231135368347168
2017-03-08,54.10813903808594,,17.920000076293945,11.569208145141602,43.599998474121094,16.350000381469727,33.71373748779297,26.19499969482422,14.231135368347168
2017-03-09,53.964515686035156,,17.780000686645508,11.036416053771973,43.0099983215332,16.299999237060547,33.67506790161133,25.959999084472656,14.231135368347168
2017-03-10,54.03153991699219,,17.850000381469727,11.41698169708252,41.77000045776367,16.299999237060547,33.56871795654297,26.13500022888184,14.231135368347168
2017-03-13,54.2613410949707,,17.940000534057614,11.226696968078613,41.959999084472656,16.600000381469727,33.965126037597656,26.834999084472656,14.231135368347168
2017-03-14,54.84540557861328,,18.5,11.34086799621582,42.209999084472656,16.799999237060547,33.974796295166016,26.96500015258789,14.233046531677244
2017-03-15,55.20925903320313,,18.809999465942386,11.53115177154541,43.040000915527344,16.899999618530273,34.786937713623054,27.54999923706055,14.233046531677244
2017-03-16,55.15180587768555,,20.8799991607666,11.683378219604492,44.47000122070313,16.850000381469727,35.67643737792969,28.11000061035156,14.233046531677244
2017-03-17,55.34331130981445,,22.020000457763672,11.87366008758545,44.31999969482422,17.049999237060547,35.125328063964844,28.22500038146973,14.233046531677244
2017-03-20,56.1859016418457,,21.82999992370605,11.53115177154541,43.599998474121094,17.399999618530273,35.047985076904304,28.42499923706055,14.233046531677244
2017-03-21,55.54437637329102,,22.459999084472656,11.569208145141602,42.93000030517578,17.299999237060547,34.72892379760742,27.895000457763672,14.42424774169922
2017-03-22,51.62822341918945,,22.770000457763672,11.34086799621582,43.11000061035156,17.25,33.684738159179695,27.93000030517578,14.42424774169922
2017-03-23,53.0165901184082,,22.770000457763672,11.378923416137695,43.25,17.700000762939453,34.51622772216797,28.459999084472656,14.42424774169922
2017-03-24,53.964515686035156,,22.57999992370605,11.074472427368164,42.68999862670898,17.600000381469727,34.806262969970696,28.51000022888184,14.42424774169922
2017-03-27,53.55279541015625,,22.540000915527344,10.80807399749756,42.59000015258789,17.600000381469727,34.400203704833984,28.57500076293945,14.493080139160154
2017-03-28,54.21346664428711,,22.809999465942386,11.188641548156738,43.13999938964844,17.799999237060547,34.438873291015625,28.614999771118164,14.493080139160154
2017-03-29,54.27090454101562,,23.520000457763672,11.683378219604492,42.900001525878906,17.799999237060547,34.34218978881836,29.15500068664551,14.493080139160154
2017-03-30,53.65811538696289,,22.790000915527344,11.683378219604492,42.68000030517578,17.850000381469727,34.81593704223633,29.28499984741211,14.550439834594727
2017-03-31,53.36129379272461,,23.1200008392334,11.493091583251953,43.22999954223633,18.25,35.28969955444336,29.06999969482422,14.550439834594727
2017-04-03,53.198524475097656,,22.940000534057614,11.378923416137695,42.86999893188477,18.049999237060547,34.36153793334961,28.565000534057614,14.550439834594727
2017-04-04,52.70061874389648,,23.059999465942386,11.378923416137695,43.15999984741211,17.950000762939453,33.820098876953125,28.57500076293945,14.550439834594727
2017-04-05,52.64317321777344,,22.649999618530273,11.34086799621582,42.84000015258789,17.700000762939453,33.781421661376946,28.84000015258789,14.550439834594727
2017-04-06,52.796363830566406,,22.979999542236328,11.87366008758545,43.11000061035156,17.149999618530273,34.12948226928711,28.934999465942386,14.550439834594727
2017-04-07,52.76764297485352,,22.90999984741211,11.683378219604492,43.0099983215332,16.799999237060547,34.21649932861328,29.045000076293945,14.550439834594727
2017-04-10,52.56657028198242,,23.15999984741211,11.797548294067385,39.47000122070313,17.049999237060547,33.433361053466804,29.479999542236328,14.550439834594727
2017-04-11,52.58572006225586,,23.209999084472656,11.797548294067385,41.4900016784668,17.200000762939453,33.84049606323242,29.334999084472656,14.550439834594727
2017-04-12,53.208091735839844,,22.899999618530273,11.645319938659668,41.79999923706055,17.049999237060547,32.512466430664055,29.290000915527344,14.550439834594727
2017-04-13,52.98786926269531,,22.690000534057614,11.569208145141602,41.63000106811523,17.0,32.35736846923828,29.06999969482422,14.550439834594727
2017-04-17,53.84961700439453,,22.940000534057614,11.607263565063475,42.18999862670898,17.25,33.43335723876953,29.709999084472656,14.550439834594727
